        MB  Type                  Source      Name
------------------------------------------------------------------------------------------
     11.80  OcclusionCullingData  object      OcclusionCullingData
      5.39  AudioClip             m_Resource  BackgroundMusic
      4.77  AudioClip             m_Resource  Animation Clip_Modular UI - Source Recordings - Beeps - Clean - 002
      2.67  Texture2D             inline      Splash Screen Unity Logo
      2.66  AudioClip             m_Resource  Ruins_Unit2_v1
      2.56  AudioClip             m_Resource  Overworld_Unite2_v1
      2.56  AudioClip             m_Resource  Animation Clip_Wind,Ext,Breeze,Grass,Tall,Rustle,Buffeting
      2.40  AudioClip             m_Resource  soundlist_beeps
      2.34  Cubemap               object      Cubemap_Unit2Skybox
      2.00  Texture2D             inline      sactx-0-2048x1024-DXT5|BC3-Dialogue Sprite Atlas-720624f6
      1.98  Texture2D             inline      UI_SoilKey_Base_Background
      1.98  Texture2D             inline      UI_SoilKey_BG_1
      1.72  Texture2D             inline      WaterShedClear
      1.54  Shader                object      
      1.42  Texture2D             inline      Texture_SoilKeyWallPanel_Normal
      1.37  Shader                object      
      1.33  Texture2D             inline      main_normal
      1.33  Texture2D             inline      Arm Band_Normal
      1.25  Texture2D             inline      UI_Collectibles_BGPanel
      1.19  Shader                object      
      1.12  Texture2D             inline      UI_Map_OutlineGlow
      1.11  Shader                object      
      1.00  Texture2D             inline      Rajdhani-Medium Atlas
      1.00  Texture2D             inline      Orbitron-Medium Atlas
      1.00  Texture2D             inline      UI_Globe_Emissive
      1.00  Texture2D             inline      UI_Globe_Diffuse
      1.00  Texture2D             inline      LiberationSans SDF Atlas
      0.99  Texture2D             inline      Texture_U3_Trims_Normal
      0.99  ComputeShader         object      Internal-Skinning
      0.99  Texture2D             inline      title_card
      0.86  Texture2D             inline      Atlas_MHS_BlueRegion
      0.83  Texture2D             inline      UI_Map_U2_Fog_1Toppo
      0.83  Texture2D             inline      UI_Map_U2_Fog_2Tera
      0.83  Texture2D             inline      UI_Map_U2_Fog_3Aryn
      0.82  Texture2D             inline      UI_Map_U2_Fog_2Tera
      0.82  Texture2D             inline      UI_Map_U2_Fog_3Aryn
      0.82  Texture2D             inline      UI_Map_U2_Fog_1Toppo
      0.81  Texture2D             inline      UI_GlobeHolder_BG
      0.77  AudioClip             m_Resource  Animation Clip_CYBERDECK_Hologram_designed_19
      0.76  Texture2D             inline      Texture_MessyAnderson_Body_Normal
      0.72  Texture2D             inline      Atlas_AlienProps_YellowRegion_Normal
      0.71  Texture2D             inline      Atlas_AlienProps_RedRegion
      0.71  Texture2D             inline      Atlas_AlienProps_GreenRegion_Normal
      0.70  AudioClip             m_Resource  hoverboard_flight
      0.70  AudioClip             m_Resource  drone_flight
      0.70  AudioClip             m_Resource  Animation Clip_cave_drips_05_30_loop
      0.69  AudioClip             m_Resource  Animation Clip_Textures and Drones - High - Mecha Insects Swarm 01
      0.68  Texture2D             inline      UI_Login_Molecule1
      0.68  Texture2D             inline      UI_Login_Molecule2
      0.67  Texture2D             inline      Texture_Molecule_Alpha
      0.67  Texture2D             inline      Texture_NPCs_Eye_Diffuse
      0.67  Texture2D             inline      Texture_NPCs_Eye_Diffuse
      0.67  Texture2D             inline      Texture_NPCs_Eye_Diffuse
      0.66  Texture2D             inline      Clouds
      0.66  Texture2D             inline      Atlas_AlienProps_MagentaRegion
      0.66  Texture2D             inline      Atlas_AlienProps_GreenRegion
      0.64  Texture2D             inline      Atlas_AlienProps_MagentaRegion_Normal
      0.63  Texture2D             inline      Atlas_AlienProps_BlueRegion
      0.60  Texture2D             inline      Texture_SoilKeyWallPanel_Diffuse
      0.60  Texture2D             inline      Texture_AlienDungeon_HexTEMP
      0.60  Texture2D             inline      Atlas_Flora_Emissive
      0.59  Texture2D             inline      Texture_U3_Trims_BRIGHTER
      0.58  Texture2D             inline      Atlas_CampProps
      0.57  Texture2D             inline      WaterShedCloud2
      0.57  Texture2D             inline      WaterShedCloud1
      0.57  Shader                object      
      0.56  Texture2D             inline      Texture_Anderson_Body_Normal
      0.56  Texture2D             inline      Atlas_Flora
      0.56  Texture2D             inline      Atlas_CampProps_Normal
      0.53  Texture2D             inline      UI_Legend_Panel
      0.52  Texture2D             inline      Atlas_AlienProps_YellowRegion
      0.52  Texture2D             inline      Texture_Jasper_Body_Normal
      0.51  Texture2D             inline      Atlas_AlienProps_BlueRegion_Normal
      0.50  Cubemap               object      Cookie_AlienCircuits
      0.50  Cubemap               object      Default-Skybox-Cubemap
      0.50  Texture2D             inline      Texture_Anderson_Body_Normal
      0.49  Texture2D             inline      UI_Login_BG
      0.49  Texture2D             inline      WatershedsTitleCard
      0.48  Shader                object      
      0.48  Texture2D             inline      UI_Classifier_Evidence_Inactive
      0.48  Texture2D             inline      UI_Classifier_Evidence_Active
      0.48  Texture2D             inline      UI_BackingInfo_U2_1
      0.47  Texture2D             inline      UI_Argumentation_MainRings 1
      0.46  Texture2D             inline      shed_2
      0.46  Shader                object      
      0.43  Shader                object      
      0.43  Texture2D             inline      WaterShedPartCloudy
      0.43  Texture2D             inline      WaterShedFullCloudy
      0.43  Texture2D             inline      shed_1
      0.42  Texture2D             inline      gentle_slopes_2
      0.42  Texture2D             inline      labeled_contours
      0.42  Texture2D             inline      hilltop
      0.42  Texture2D             inline      valley
      0.42  Texture2D             inline      filled_contours
      0.42  Texture2D             inline      gentle_2d-3d
      0.42  Texture2D             inline      full_contours
      0.42  Texture2D             inline      HydrogenBackground
      0.42  Texture2D             inline      steep_2d-3d
      0.42  Texture2D             inline      steep slopes
      0.42  Texture2D             inline      dotted_contours
      0.42  Texture2D             inline      ridge_depression
      0.42  Texture2D             inline      UI_Map_Mountain_Glow
      0.42  Shader                object      
      0.41  Texture2D             inline      shed_3
      0.41  Texture2D             inline      Atlas_AlienProps_RedRegion_Normal
      0.41  Shader                object      
      0.39  AudioClip             m_Resource  Animation Clip_Toppo_05_Priority
      0.38  AudioClip             m_Resource  68_Player_31
      0.38  Cubemap               object      Cookie_AlienCircuits_HighContrast
      0.37  Texture2D             inline      UI_BackingInfo2
      0.37  AudioClip             m_Resource  Animation Clip_Toppo_03_Creative
      0.37  AnimationClip         object      Jasper_GA2_1_LookUp
      0.35  Texture2D             inline      UI_PromptBar_BG
      0.35  AudioClip             m_Resource  68_Player_31
      0.34  Font                  object      Rajdhani-Medium
      0.34  Texture2D             inline      UI DialogueA DialogueBox
      0.34  Font                  object      LiberationSans
      0.33  AudioClip             m_Resource  68_Player_31
      0.33  Texture2D             inline      Texture_TopographicGame_Indicator_Emission
      0.33  Texture2D             inline      Texture_Rickety Hoverboard_Metallic
      0.33  Texture2D             inline      Texture_Segmented Soil Key_Normal
      0.33  Texture2D             inline      Texture_SoilKey_Emission
      0.33  Texture2D             inline      DANI_Vector
      0.33  Texture2D             inline      Texture_SoilKey_Diffuse
      0.33  Texture2D             inline      Texture_TopographicGame_Indicator_Normal
      0.33  Texture2D             inline      Texture_Segmented Soil Key_Albedo
      0.33  Texture2D             inline      Texture_Rickety Hoverboard_Normal
      0.33  Texture2D             inline      Drone_Normal
      0.33  Texture2D             inline      Waves_LoRes
      0.33  Texture2D             inline      Texture_SoilKey_Normal
